annotation_id,annotator,created_at,id,image,lead_time,updated_at,image_path,zone_label_path,spot_label_path,seg_exists,augmentation
14,1,2025-03-05T14:30:37.034660Z,16,/data/upload/2/bed59fa8-a7b2453d-5c44-460a-84e3-3ae31a28f463.webp,624.976,2025-03-05T14:39:45.702835Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\a7b2453d-5c44-460a-84e3-3ae31a28f463.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-16-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-16-combined-spot.npy,True,False
15,1,2025-03-05T14:40:37.144856Z,17,/data/upload/2/e032e1dc-a95228b7-a849-45e5-bebd-2fa264d78d76.webp,2452.016,2025-03-05T15:20:52.525345Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\a95228b7-a849-45e5-bebd-2fa264d78d76.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-17-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-17-combined-spot.npy,True,False
16,1,2025-03-06T15:48:13.017890Z,20,/data/upload/2/e75cac5f-abda835a-21b6-4f1c-8734-65011f5d6d88.webp,1498.62,2025-03-06T16:10:38.525065Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\abda835a-21b6-4f1c-8734-65011f5d6d88.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-20-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-20-combined-spot.npy,True,False
17,1,2025-03-06T16:12:43.741009Z,21,/data/upload/2/0242449a-acd3ad51-9787-4b2f-9340-d263e57ebcc7.webp,2098.121,2025-03-06T16:45:40.199418Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\acd3ad51-9787-4b2f-9340-d263e57ebcc7.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-21-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-21-combined-spot.npy,True,False
18,1,2025-03-06T16:50:56.283910Z,22,/data/upload/2/7d816dab-ad54fd54-0ef5-4c2d-9033-e4fa511b8ac5.webp,1141.583,2025-03-06T17:04:46.359086Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\ad54fd54-0ef5-4c2d-9033-e4fa511b8ac5.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-22-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-22-combined-spot.npy,True,False
19,1,2025-03-06T17:17:11.668560Z,23,/data/upload/2/80c9aef4-adc179e3-4478-4208-acf4-8e2577e3d2bd.webp,1800.826,2025-03-06T17:35:02.851351Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\adc179e3-4478-4208-acf4-8e2577e3d2bd.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-23-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-23-combined-spot.npy,True,False
20,1,2025-03-06T17:38:56.977879Z,24,/data/upload/2/cda8da6f-af0cb020-77bf-4aa8-a493-7ab7487b6dcd.webp,1649.5449999999998,2025-03-06T18:03:50.746548Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\af0cb020-77bf-4aa8-a493-7ab7487b6dcd.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-24-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-24-combined-spot.npy,True,False
21,1,2025-03-06T18:04:58.664457Z,25,/data/upload/2/527e945b-afb325b6-a06d-423c-9a8a-23192791f8d4.webp,700.057,2025-03-06T18:15:36.185724Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\afb325b6-a06d-423c-9a8a-23192791f8d4.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-25-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-25-combined-spot.npy,True,False
22,1,2025-03-06T18:18:01.982364Z,26,/data/upload/2/44a0d8b6-b0faf085-5ed3-4535-9265-507dede697a6.webp,545.785,2025-03-06T18:24:56.012466Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\b0faf085-5ed3-4535-9265-507dede697a6.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-26-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-26-combined-spot.npy,True,False
23,1,2025-03-06T18:26:03.611104Z,27,/data/upload/2/e406fbea-b24cd18a-a24f-4588-921d-dc935c2ae6c1.webp,801.1780000000001,2025-03-06T18:38:32.990817Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\b24cd18a-a24f-4588-921d-dc935c2ae6c1.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-27-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-27-combined-spot.npy,True,False
24,1,2025-03-06T18:42:13.641485Z,28,/data/upload/2/fc7319f3-b63d0510-92ed-44b0-8355-1403ffc9bcf3.webp,901.969,2025-03-06T18:54:04.238185Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\b63d0510-92ed-44b0-8355-1403ffc9bcf3.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-28-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-28-combined-spot.npy,True,False
25,1,2025-03-06T18:55:01.567977Z,29,/data/upload/2/6db18cab-b9271cf8-1d2a-45b6-b7a2-151bcda796de.webp,2022.375,2025-03-06T19:27:50.152688Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\b9271cf8-1d2a-45b6-b7a2-151bcda796de.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-29-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-29-combined-spot.npy,True,False
26,1,2025-03-06T19:28:45.870290Z,30,/data/upload/2/e8b1c881-bd6bc5c8-7fcd-4d85-bb9f-8a0c64a63446.webp,615.553,2025-03-06T19:38:12.361633Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\bd6bc5c8-7fcd-4d85-bb9f-8a0c64a63446.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-30-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-30-combined-spot.npy,True,False
27,1,2025-03-06T19:40:28.310266Z,31,/data/upload/2/b959e059-bdf8f2ea-4791-4fa8-bc74-84c786d39da2.webp,404.311,2025-03-06T19:45:12.161821Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\bdf8f2ea-4791-4fa8-bc74-84c786d39da2.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-31-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-31-combined-spot.npy,True,False
28,1,2025-03-06T19:49:01.216348Z,32,/data/upload/2/01a8fe71-be891583-e7fa-4a6f-bc03-647d1442c637.webp,799.762,2025-03-06T19:58:36.890035Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\be891583-e7fa-4a6f-bc03-647d1442c637.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-32-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-32-combined-spot.npy,True,False
29,1,2025-03-06T20:00:41.818530Z,33,/data/upload/2/6f8346f8-bfa49f99-5a08-45fc-b813-bd33a81ef495.webp,478.855,2025-03-06T20:06:58.215207Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\bfa49f99-5a08-45fc-b813-bd33a81ef495.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-33-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-33-combined-spot.npy,True,False
30,1,2025-03-06T20:11:00.199460Z,34,/data/upload/2/8c20a609-c0d48cbe-fba8-472b-8c39-d931f19917a1.webp,653.537,2025-03-06T20:17:59.193587Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\c0d48cbe-fba8-472b-8c39-d931f19917a1.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-34-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-34-combined-spot.npy,True,False
31,1,2025-03-10T14:24:43.806835Z,35,/data/upload/2/8d62aabd-c2b1f6aa-8247-43aa-848f-01016d58a68e.webp,773.5550000000001,2025-03-10T14:36:34.539377Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\c2b1f6aa-8247-43aa-848f-01016d58a68e.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-35-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-35-combined-spot.npy,True,False
32,1,2025-03-10T14:37:42.621753Z,36,/data/upload/2/dae75c96-c3884966-50db-4859-aea0-5cb92aec0b6f.webp,1524.7480000000005,2025-03-10T15:02:07.195335Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\c3884966-50db-4859-aea0-5cb92aec0b6f.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-36-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-36-combined-spot.npy,True,False
33,1,2025-03-10T15:02:57.477781Z,37,/data/upload/2/fb122857-c4630850-9efb-444d-b9a4-7fcc5c6dd150.webp,540.384,2025-03-10T15:11:10.987158Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\c4630850-9efb-444d-b9a4-7fcc5c6dd150.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-37-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-37-combined-spot.npy,True,False
34,1,2025-03-10T15:12:47.109853Z,38,/data/upload/2/c2bbed16-c4f69f7f-6c9a-4253-aeb5-73e44cc17510.webp,1101.664,2025-03-10T15:29:37.017588Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\c4f69f7f-6c9a-4253-aeb5-73e44cc17510.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-38-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-38-combined-spot.npy,True,False
35,1,2025-03-10T15:30:32.558798Z,39,/data/upload/2/14814493-c57511cb-cc15-43e5-befd-f2815f01b4fe.webp,399.793,2025-03-10T15:36:55.111393Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\c57511cb-cc15-43e5-befd-f2815f01b4fe.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-39-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-39-combined-spot.npy,True,False
36,1,2025-03-10T15:37:56.423833Z,40,/data/upload/2/5eaf868e-c65c71b2-4d48-4a09-a6f5-30929b4f8ebf.webp,408.083,2025-03-10T15:43:53.283645Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\c65c71b2-4d48-4a09-a6f5-30929b4f8ebf.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-40-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-40-combined-spot.npy,True,False
37,1,2025-03-10T15:44:46.407016Z,41,/data/upload/2/b61bf506-c9018c08-a966-4aca-b54b-f80a60e58888.webp,421.924,2025-03-10T15:50:59.167233Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\c9018c08-a966-4aca-b54b-f80a60e58888.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-41-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-41-combined-spot.npy,True,False
38,1,2025-03-10T15:51:25.883684Z,42,/data/upload/2/ac0e60c3-c962d9c7-0eed-49e0-bb81-75880699dfa0.webp,411.171,2025-03-10T15:57:54.389350Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\c962d9c7-0eed-49e0-bb81-75880699dfa0.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-42-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-42-combined-spot.npy,True,False
39,1,2025-03-10T15:58:28.873783Z,43,/data/upload/2/59079c36-c9cd4f87-85ef-43eb-8ace-2122095d43b1.webp,393.634,2025-03-10T16:04:31.742339Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\c9cd4f87-85ef-43eb-8ace-2122095d43b1.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-43-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-43-combined-spot.npy,True,False
40,1,2025-03-10T16:10:08.060614Z,44,/data/upload/2/4c568820-ca85e92d-9ec5-4a0f-b2e8-e6dee8b893b9.webp,747.96,2025-03-10T16:17:03.974633Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\ca85e92d-9ec5-4a0f-b2e8-e6dee8b893b9.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-44-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-44-combined-spot.npy,True,False
41,1,2025-03-10T16:17:44.793606Z,45,/data/upload/2/cb63e0af-cace4f65-39ba-49ce-a636-9f625f7739cd.webp,446.48500000000007,2025-03-10T16:24:35.629170Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\cace4f65-39ba-49ce-a636-9f625f7739cd.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-45-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-45-combined-spot.npy,True,False
42,1,2025-03-10T16:25:49.027186Z,46,/data/upload/2/bdd10bf0-cbdda026-9e90-4278-8e33-121153cc5ec3.webp,445.146,2025-03-10T16:32:04.431638Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\cbdda026-9e90-4278-8e33-121153cc5ec3.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-46-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-46-combined-spot.npy,True,False
43,1,2025-03-10T16:34:46.848220Z,47,/data/upload/2/1b550819-cc355b05-f12d-40da-a7c5-aea8d405d0d5.webp,486.966,2025-03-10T16:40:15.564949Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\cc355b05-f12d-40da-a7c5-aea8d405d0d5.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-47-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-47-combined-spot.npy,True,False
44,1,2025-03-10T16:41:36.627067Z,48,/data/upload/2/ff5e45f2-cf4b5b87-0d66-4785-91f4-9e6e1794b4b1.webp,360.288,2025-03-10T16:46:21.603298Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\cf4b5b87-0d66-4785-91f4-9e6e1794b4b1.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-48-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-48-combined-spot.npy,True,False
45,1,2025-03-10T16:46:55.970642Z,49,/data/upload/2/9eae1c42-cfb321eb-d13d-4fa7-a9c5-52a8344daf60.webp,461.282,2025-03-10T16:54:07.138898Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\cfb321eb-d13d-4fa7-a9c5-52a8344daf60.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-49-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-49-combined-spot.npy,True,False
46,1,2025-03-10T16:55:28.980095Z,50,/data/upload/2/9e1ad939-d3a012c7-0ba6-458e-9acb-63c7c0ed74f8.webp,404.594,2025-03-10T17:00:57.347968Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\d3a012c7-0ba6-458e-9acb-63c7c0ed74f8.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-50-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-50-combined-spot.npy,True,False
47,1,2025-03-10T17:02:29.003512Z,51,/data/upload/2/a012baf8-d9bdb634-9bdc-401c-bb2e-5d26df0cc693.webp,593.207,2025-03-10T17:10:55.110643Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\d9bdb634-9bdc-401c-bb2e-5d26df0cc693.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-51-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-51-combined-spot.npy,True,False
48,1,2025-03-10T17:12:19.286789Z,52,/data/upload/2/40fa7398-d9c42890-112f-48a9-9ad2-6b1241da5b42.webp,580.788,2025-03-10T17:20:40.823665Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\d9c42890-112f-48a9-9ad2-6b1241da5b42.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-52-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-52-combined-spot.npy,True,False
109,1,2025-03-07T15:09:47.256655Z,101,/data/upload/13/ecf12af0-0a68c673-f116-4314-8e3b-e9f2ce71abd2.webp,250.91,2025-03-07T15:13:43.399223Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\0a68c673-f116-4314-8e3b-e9f2ce71abd2.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-101-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-101-combined-spot.npy,True,False
110,1,2025-03-07T15:14:16.062116Z,102,/data/upload/13/0ea38cf9-0c3455c3-bc12-4f9c-9458-4929563fda1d.webp,274.873,2025-03-07T15:18:36.311073Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\0c3455c3-bc12-4f9c-9458-4929563fda1d.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-102-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-102-combined-spot.npy,True,False
111,1,2025-03-07T15:19:02.414943Z,103,/data/upload/13/1326a914-0ee30d83-f6c1-4bf0-a778-062e2eb79892.webp,444.45900000000006,2025-03-07T15:26:19.167629Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\0ee30d83-f6c1-4bf0-a778-062e2eb79892.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-103-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-103-combined-spot.npy,True,False
112,1,2025-03-07T15:26:52.396525Z,104,/data/upload/13/8ce30ae1-0f04bd6b-1919-4d2a-b042-1d426f947e05.webp,412.0110000000001,2025-03-07T15:33:18.161352Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\0f04bd6b-1919-4d2a-b042-1d426f947e05.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-104-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-104-combined-spot.npy,True,False
113,1,2025-03-07T15:34:11.176298Z,105,/data/upload/13/599f42a9-1a5387a5-9669-41b9-9b2c-6405af319ef3.webp,1414.654,2025-03-07T15:57:17.975424Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\1a5387a5-9669-41b9-9b2c-6405af319ef3.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-105-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-105-combined-spot.npy,True,False
114,1,2025-03-19T15:28:27.818227Z,106,/data/upload/13/056733af-1ad6e359-516f-4f65-8475-e531ca384c70.webp,533.266,2025-03-19T15:37:00.205774Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\1ad6e359-516f-4f65-8475-e531ca384c70.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-106-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-106-combined-spot.npy,True,False
115,1,2025-03-19T15:37:29.008240Z,107,/data/upload/13/e9d37f6c-1cd77fad-f143-441c-9452-be5cdde10f0b.webp,434.809,2025-03-19T17:47:49.060171Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\1cd77fad-f143-441c-9452-be5cdde10f0b.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-107-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-107-combined-spot.npy,True,False
116,1,2025-03-19T15:47:29.189333Z,108,/data/upload/13/ef072e15-1d53f746-543c-4062-80a1-d982c0286cfa.webp,481.797,2025-03-19T17:48:16.048438Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\1d53f746-543c-4062-80a1-d982c0286cfa.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-108-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-108-combined-spot.npy,True,False
117,1,2025-03-19T15:55:49.638460Z,109,/data/upload/13/d821f7fe-2a2439a4-067c-4974-b50f-80a52f56234b.webp,562.0910000000001,2025-03-19T17:48:53.212752Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\2a2439a4-067c-4974-b50f-80a52f56234b.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-109-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-109-combined-spot.npy,True,False
